a: à,a.
Aarlenaar: Aarlenaars,Aarlenaren
aars: aarsen
aarsmade: aarsmaden
aarsvin: aarsvinnen
aartsbedrieger: aartsbedriegers
aartsbedriegster: aartsbedriegsters
aartsbisdom: aartsbisdommen
aartsbisschop: aartsbisschoppen
aartsbisschoppelijk: aartsbisschoppelijke
aartsdiaken: aartsdiakenen
aartsdiocees: aartsdiocesen
aartsdom: aartsdommen
aartsengel: aartsengels
aartshertog: aartshertogen
aartshertogdom: aartshertogdommen
aartshertogelijk: aartshertogelijke
aartshertogin: aartshertoginnen
aartshuichelaar: aartshuichelaars
aartsleugenaar: aartsleugenaars
aartspriester: aartspriesters
aartsrivaal: aartsrivalen
aartsvader: aartsvaders
aartsvaderlijk: aartsvaderlijke
aartsvijand: aartsvijanden
aarzelen: aarzelde,geaarzeld,aarzelt,aarzelden,aarzel
aarzeling: aarzelingen
aas: azen
aasdier: aasdieren
aaseter: aaseters
aasgier: aasgieren
aasje: aasjes
aaskever: aaskevers
aasvlieg: aasvliegen
abactis: abactissen
abacus: abacussen
abandonneren: abandonneert,abandonneerden,abandonneerde,abandonneer,geabandonneerd
abatjour: abat-jour,abatjours
abattoir: abattoirs
abbreviatie: abbreviaties
abbreviatuur: abbreviaturen
abbrevieren: abbrevieerden,abbreviëren,abbrevieert,geabbrevieerd,abbrevieer,abbrevieerde
ABCeilanden: ABC-eilanden
abces: abcessen
ABCoorlog: ABC-oorlog
ABCwapens: ABC-wapens
abdicatie: abdicaties
abdiceren: abdiceerden,abdiceerde,abdiceert,abdiceer,geabdiceerd
abdij: abdijen
abdiqueren: abdiqueer,abdiqueert,geabdiqueerd,abdiqueerde,abdiqueerden
abdis: abdissen
abdomen: abdomina
abecedarium: abecedaria
abeel: abelen
aberratie: aberraties
Abiljet: A-biljet,Abiljetten
abiotisch: abiotische
